AvgCyclomaticModified,AvgCyclomatic,AvgEssential,AvgCyclomaticStrict,AvgLine,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclFunction,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountDeclMethod,CountLineBlank,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineCode,CountLine,CountSemicolon,CountStmtDecl,CountStmtExe,CountStmt,MaxCyclomaticModified,MaxCyclomatic,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomaticModified,SumCyclomatic,SumCyclomaticStrict,SumEssential,PRE-ReleaseDefects,POST-ReleaseDefects,NumberOfChanges,NumberOfCodeChurn,InvokedMethods,TryQuantity,TrySizeLOC,TrySizeSLOC,CatchQuantity,CatchSizeLOC,CatchSizeSLOC,CaughtExceptions,TotalPossibleExceptions,PercentageOfCaughtExceptions,DestructiveWrapping,NestedTry,ThorwsKitchenSink,ThrowWithinFinally,CatchandDoNothing,CatchandReturnnull,DummyHandler,IgnoringInterruptedException,CatchGeneric,ThrowsGeneric,LogandReturnNull,LogandThrowDetector
1,1,1,1,1,1,4,0,0,2,2,0,1,1,0,0,2,5,19,0,31,20,55,8,10,0,10,1,1,1,1,0,1.55,1,1,1,1,0,0,0,0,13,2,7,21,2,5,4,1,2,50,0,1,0,0,1,0,0,1,1,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,16,0,33,17,54,7,8,0,8,0,0,0,0,0,1.94118,0,0,0,0,0,0,0,0,37,1,1,3,1,4,4,1,1,100,0,0,0,0,0,0,1,1,0,2,0,0
1,1,1,1,5,0,1,4,0,0,4,0,0,0,0,4,4,7,13,11,24,28,59,14,12,10,20,2,2,2,1,1,0.857143,5,5,5,4,0,3,0,0,20,2,7,21,2,0,0,1,2,50,0,1,1,0,1,0,0,1,1,0,0,0
1,1,1,1,5,0,1,4,0,0,4,0,0,0,0,4,4,6,13,11,24,28,58,14,12,10,20,2,2,2,1,1,0.857143,5,5,5,4,0,0,0,0,12,1,6,11,1,0,0,2,1,200,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,1,5,0,1,4,0,0,4,0,0,0,0,4,4,6,13,12,28,29,63,15,12,11,21,2,2,2,1,1,0.965517,5,5,5,4,0,22,0,0,348,12,29,152,11,30,39,10,11,90.90909091,1,0,0,0,0,0,1,1,1,19,0,0
6,6,4,7,19,0,2,5,3,4,9,1,0,6,0,3,9,19,54,127,23,205,247,82,52,98,141,25,25,29,23,4,0.112195,55,55,65,44,0,6,0,0,298,6,16,45,5,0,0,8,5,160,0,1,3,0,0,0,0,1,3,2,0,0
4,4,2,5,12,0,1,3,3,0,3,0,0,0,0,3,3,7,17,27,17,45,69,26,19,26,41,5,5,6,4,2,0.377778,13,13,15,6,0,0,0,0,13,1,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,17,4,22,2,2,0,2,0,0,0,0,0,4.25,0,0,0,0,0,15,0,0,347,12,21,69,12,21,38,18,12,150,0,0,3,0,1,0,2,1,6,3,0,0
1,1,1,1,7,0,3,0,1,15,15,3,0,1,0,14,15,21,65,65,16,146,183,75,56,63,105,5,5,5,1,2,0.109589,24,24,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1,5,29,0,1,1,0,0,1,0,0,0,0,1,1,4,13,22,16,37,57,23,13,21,29,5,5,5,1,3,0.432432,5,5,5,1,0,0,0,0,75,3,4,10,2,0,0,1,2,50,0,0,2,0,1,0,0,1,0,3,0,0
1,1,1,1,6,0,1,0,0,2,2,0,0,0,2,0,2,4,16,7,16,23,43,15,14,7,18,2,2,2,1,0,0.695652,3,3,3,2,0,0,0,0,167,10,42,120,10,0,0,9,10,90,1,0,4,0,1,0,1,5,1,2,0,0
2,2,1,2,13,6,2,4,3,10,14,3,1,0,1,12,14,25,38,56,141,114,280,47,37,47,78,7,7,9,1,5,1.23684,29,29,32,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,8,5,1,0,1,3,3,0,0,0,0,3,3,5,6,4,32,13,50,5,6,3,9,1,1,1,1,0,2.46154,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,2,2,6,6,0,34,7,47,5,6,0,6,0,0,0,0,0,4.85714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
